date,NO2,O3,PM10,PM25,site_code
2020-04-18,15.875,51.416666666666686,,,KC1
2020-04-19,11.05833333333333,66.33749999999999,,,KC1
2020-04-20,9.895652173913044,69.5608695652174,,,KC1
2020-01-20,,,32.82083333333333,24.904166666666665,KF1
2020-01-21,,,36.575,28.175,KF1
2020-01-22,,,28.758333333333336,23.09166666666667,KF1
2020-01-23,,,15.64583333333333,12.7875,KF1
2020-01-24,,,17.633333333333333,14.183333333333337,KF1
2020-01-25,,,27.170833333333334,19.875000000000004,KF1
2020-01-26,,,21.683333333333334,13.758333333333333,KF1
2020-01-27,,,7.074999999999999,3.758333333333334,KF1
2020-01-28,,,6.416666666666667,3.1041666666666665,KF1
2020-01-29,,,14.016666666666667,7.2250000000000005,KF1
2020-01-30,,,6.1625000000000005,3.645833333333334,KF1
2020-01-31,,,2.9499999999999997,1.675,KF1
2020-02-01,,,12.799999999999999,6.8,KF1
2020-02-02,,,14.5,8.812500000000002,KF1
2020-02-03,,,14.870833333333335,7.937500000000001,KF1
2020-02-04,,,12.37083333333333,6.404166666666668,KF1
2020-02-05,,,25.400000000000006,15.97916666666667,KF1
2020-02-06,,,24.45833333333333,17.85833333333333,KF1
2020-02-07,,,28.50833333333333,21.166666666666664,KF1
2020-02-08,,,14.6,7.925000000000001,KF1
2020-02-09,,,9.512500000000001,5.679166666666667,KF1
2020-02-10,,,9.341666666666669,4.895833333333334,KF1
2020-02-11,,,11.558333333333328,5.508333333333333,KF1
2020-02-12,,,9.054166666666669,4.495833333333334,KF1
2020-02-13,,,6.716666666666666,3.829166666666667,KF1
2020-02-14,,,14.066666666666665,8.170833333333333,KF1
2020-02-15,,,4.183333333333333,2.8375,KF1
2020-02-16,,,3.7125000000000004,2.1375,KF1
2020-02-17,,,14.224999999999996,6.5,KF1
2020-02-18,,,8.612499999999999,4.4125,KF1
2020-02-19,,,11.266666666666667,6.254166666666666,KF1
2020-02-20,,,5.229166666666667,2.816666666666667,KF1
2020-02-21,,,14.950000000000001,7.533333333333335,KF1
2020-02-22,,,13.949999999999998,8.108333333333334,KF1
2020-02-23,,,4.75,2.970833333333333,KF1
2020-02-24,,,4.462500000000001,2.579166666666667,KF1
2020-02-25,,,6.316666666666666,3.016666666666667,KF1
2020-02-26,,,8.3375,3.870833333333333,KF1
2020-02-27,,,7.712500000000002,4.258333333333333,KF1
2020-02-28,,,8.849999999999998,4.683333333333334,KF1
2020-02-29,,,15.82083333333334,6.983333333333333,KF1
2020-03-01,,,8.891666666666667,4.6000000000000005,KF1
2020-03-02,,,6.729166666666667,3.483333333333333,KF1
2020-03-03,,,11.612500000000002,5.916666666666665,KF1
2020-03-04,,,12.541666666666666,7.6000000000000005,KF1
2020-03-05,,,11.820833333333335,9.408333333333333,KF1
2020-03-06,,,16.545833333333338,10.154166666666667,KF1
2020-03-07,,,18.129166666666663,12.433333333333337,KF1
2020-03-08,,,8.041666666666666,4.795833333333333,KF1
2020-03-09,,,9.216666666666667,4.9624999999999995,KF1
2020-03-10,,,1.9000000000000001,0.8041666666666667,KF1
2020-03-11,,,5.4875,2.795833333333333,KF1
2020-03-12,,,11.570833333333333,5.620833333333333,KF1
2020-03-13,,,12.612500000000002,6.3999999999999995,KF1
2020-03-14,,,6.995833333333334,4.291666666666667,KF1
2020-03-15,,,5.833333333333332,3.670833333333334,KF1
2020-03-16,,,10.643478260869566,6.308695652173912,KF1
2020-03-17,,,11.745833333333335,6.274999999999999,KF1
2020-03-18,,,11.420833333333334,6.466666666666668,KF1
2020-03-19,,,13.316666666666668,10.4625,KF1
2020-03-20,,,9.670833333333334,5.458333333333332,KF1
2020-03-21,,,13.258333333333335,6.816666666666666,KF1
