NO2,O3,PM10,PM25,date,site_code
30.495833333333334,,29.52608695652174,,2020-04-07,BG2
35.904347826086955,,,,2020-04-08,BG2
35.979166666666664,,,,2020-04-09,BG2
26.966666666666672,,,,2020-04-10,BG2
33.0375,,31.837499999999995,,2020-04-11,BG2
23.254166666666666,,26.13333333333334,,2020-04-12,BG2
5.579166666666666,,19.458333333333336,,2020-04-13,BG2
15.237499999999999,,16.066666666666666,,2020-04-14,BG2
29.770833333333332,,29.629166666666674,,2020-04-15,BG2
32.18749999999999,,46.34166666666667,,2020-04-16,BG2
13.479166666666666,,23.34583333333333,,2020-04-17,BG2
13.766666666666664,,23.066666666666666,,2020-04-18,BG2
6.920833333333333,67.5125,16.983333333333334,,2020-02-01,BQ7
7.683333333333333,62.350000000000016,17.53333333333333,,2020-02-02,BQ7
13.679166666666667,61.449999999999996,19.950000000000003,,2020-02-03,BQ7
19.700000000000003,53.07916666666666,14.683333333333335,,2020-02-04,BQ7
51.09583333333334,15.5875,29.412499999999998,,2020-02-05,BQ7
45.96666666666667,14.754166666666665,30.129166666666663,,2020-02-06,BQ7
31.183333333333323,23.025000000000002,32.72500000000001,,2020-02-07,BQ7
11.495833333333332,58.74999999999999,,,2020-02-08,BQ7
3.0416666666666665,72.62500000000001,,,2020-02-09,BQ7
8.3,68.82916666666667,,,2020-02-10,BQ7
10.366666666666665,68.35652173913044,,,2020-02-11,BQ7
17.191666666666666,58.48333333333332,,,2020-02-12,BQ7
17.49166666666667,61.775000000000006,,,2020-02-13,BQ7
18.4625,49.070833333333326,18.77083333333334,,2020-02-14,BQ7
3.508333333333333,58.94583333333333,9.358333333333334,,2020-02-15,BQ7
4.775,72.44166666666666,8.154166666666667,,2020-02-16,BQ7
8.508333333333335,66.97500000000001,16.050000000000004,,2020-02-17,BQ7
10.687499999999998,65.30416666666666,12.258333333333333,,2020-02-18,BQ7
15.616666666666667,56.52916666666666,13.545833333333336,,2020-02-19,BQ7
12.404166666666667,65.91666666666669,8.4,,2020-02-20,BQ7
8.979166666666666,68.60833333333332,19.55,,2020-02-21,BQ7
6.254166666666666,74.31666666666669,19.32916666666667,,2020-02-22,BQ7
12.629166666666665,56.116666666666674,8.687500000000002,,2020-02-23,BQ7
10.94166666666667,57.22916666666668,8.695833333333333,,2020-02-24,BQ7
12.983333333333336,63.98333333333335,10.316666666666665,,2020-02-25,BQ7
22.558333333333326,53.04999999999999,10.674999999999999,,2020-02-26,BQ7
24.672727272727272,48.372727272727275,10.34,,2020-02-27,BQ7
15.208333333333327,53.65416666666666,12.033333333333331,,2020-02-28,BQ7
5.8999999999999995,71.99583333333332,21.41666666666666,,2020-02-29,BQ7
6.033333333333332,75.69166666666665,12.154166666666663,,2020-03-01,BQ7
18.912499999999998,57.92083333333333,9.3,,2020-03-02,BQ7
31.545833333333338,45.570833333333326,15.183333333333335,,2020-03-03,BQ7
29.075000000000006,42.17916666666667,14.924999999999997,,2020-03-04,BQ7
15.733333333333336,,15.720833333333331,,2020-03-05,BQ7
29.8875,43.93809523809524,17.708333333333336,,2020-03-06,BQ7
20.004166666666666,51.65833333333333,20.73333333333333,,2020-03-07,BQ7
5.616666666666666,74.35000000000001,12.474999999999996,,2020-03-08,BQ7
10.308333333333332,63.06249999999999,12.4375,,2020-03-09,BQ7
7.6833333333333345,53.00833333333335,5.354166666666667,,2020-03-10,BQ7
7.7,73.84583333333332,7.858333333333334,,2020-03-11,BQ7
6.766666666666667,69.59166666666667,16.145833333333332,,2020-03-12,BQ7
15.166666666666666,59.49166666666665,16.466666666666665,,2020-03-13,BQ7
6.4750000000000005,67.425,10.979166666666666,,2020-03-14,BQ7
9.0625,70.25833333333335,9.387499999999998,,2020-03-15,BQ7
24.283333333333335,44.9375,14.95833333333333,,2020-03-16,BQ7
9.658333333333333,63.53333333333333,14.570833333333335,,2020-03-17,BQ7
8.920833333333333,61.35,13.354166666666664,,2020-03-18,BQ7
12.5,50.03333333333334,16.033333333333335,,2020-03-19,BQ7
9.545833333333334,62.37916666666666,14.887500000000001,,2020-03-20,BQ7
7.683333333333333,62.90833333333333,18.9125,,2020-03-21,BQ7
11.887500000000001,54.258333333333354,19.6375,,2020-03-22,BQ7
30.583333333333332,38.69166666666666,30.633333333333336,,2020-03-23,BQ7
26.65416666666667,45.4375,23.566666666666663,,2020-03-24,BQ7
37.725,38.212500000000006,35.4125,,2020-03-25,BQ7
23.2625,58.96666666666666,37.01666666666667,,2020-03-26,BQ7
12.750000000000002,79.68750000000001,37.75416666666666,,2020-03-27,BQ7
6.170833333333334,85.28333333333332,23.829166666666662,,2020-03-28,BQ7
5.304166666666666,74.52083333333334,16.4875,,2020-03-29,BQ7
9.437500000000002,63.97083333333334,13.9,,2020-03-30,BQ7
